date,collection
2026-01-31,9539989.06
2026-01-30,9226222.34
2026-01-29,6292555.18
2026-01-28,6453339.22
2026-01-27,6307584.26
2026-01-26,7566723.56
2026-01-25,5687089.1
2026-01-24,6977378.66
2026-01-23,6408797.46
2026-01-22,6178350.08
2026-01-21,6682134.92
2026-01-20,7675626.01
2026-01-19,6481504.11
2026-01-18,4815147.85
2026-01-17,7130057.01
2026-01-16,8321109.79
2026-01-15,9977256.54
2026-01-14,5885313.28
2026-01-13,6049358.36
2026-01-12,6085942.06
2026-01-11,5465987.43
2026-01-10,7540073.87
2026-01-09,5982614.66
2026-01-08,5395588.62
2026-01-07,6428235.27
2026-01-06,7109794.36
2026-01-05,7120700.1
2026-01-04,4639817.43
2026-01-03,5995988.37
2026-01-02,6786229.6
2026-01-01,2406176.8
2025-12-31,5268088.31
2025-12-30,8717718.88
2025-12-29,8368704.96
2025-12-28,5896309.69
2025-12-27,7643092.11
2025-12-26,8746946.52
2025-12-25,3567631.41
2025-12-24,6274453.06
2025-12-23,8626731.99
2025-12-22,7706813.39
2025-12-21,5731351.65
2025-12-20,7667862.53
2025-12-19,7346817.41
2025-12-18,5755244.94
2025-12-17,6879861.94
2025-12-16,8745886.71
2025-12-15,9420921.11
2025-12-14,4637264.81
2025-12-13,5862223.9
2025-12-12,6538247.59
2025-12-11,6824239.88
2025-12-10,6827664.21
2025-12-09,4994634.1
2025-12-08,5166211.86
2025-12-07,4656410.58
2025-12-06,6193282.62
2025-12-05,6796587.74
2025-12-04,4985228.03
2025-12-03,5639224.44
2025-12-02,5986636.65
2025-12-01,7110090.63
2025-11-30,10148328.33
2025-11-29,8208576.89
2025-11-28,9009382.92
2025-11-27,6332122.26
2025-11-26,7406740.46
2025-11-25,8101369.74
2025-11-24,5690932.41
2025-11-23,4323396.52
2025-11-22,6001304.04
2025-11-21,6027589.05
2025-11-20,6856706.28
2025-11-19,5533523.35
2025-11-18,5803455.18
2025-11-17,7885417.87
2025-11-16,5709704.03
2025-11-15,8486612.76
2025-11-14,7203784.45
2025-11-13,5319424.22
2025-11-12,5299953.73
2025-11-11,6602114.03
2025-11-10,6025962.84
2025-11-09,3125832.85
2025-11-08,5196610.11
2025-11-07,5571503.64
2025-11-06,6105657.84
2025-11-05,6343746.58
2025-11-04,5220394.13
2025-11-03,6338495.02
2025-11-02,4194394.62
2025-11-01,3140107.93
2025-10-31,8473304.93
2025-10-30,8953016.23
2025-10-29,5897155.01
2025-10-28,6273230.49
2025-10-27,6162610.77
2025-10-26,4934867.78
2025-10-25,7095056.68
2025-10-24,6280403.96
2025-10-23,5150619.08
2025-10-22,5066206.21
2025-10-21,6444851.87
2025-10-20,7165756.38
2025-10-19,4055547.13
2025-10-18,5036562.5
2025-10-17,6204912.36
2025-10-16,7816269.83
2025-10-15,8977761.15
2025-10-14,5880269.12
2025-10-13,5473224.87
2025-10-12,4241034.81
2025-10-11,6426953.53
2025-10-10,6607089.49
2025-10-09,5056274.39
2025-10-08,4271313.65
2025-10-07,5375062.55
2025-10-06,6049942.02
2025-10-05,4623023.83
2025-10-04,5865557.24
2025-10-03,4843357.16
2025-10-02,6000706.97
2025-10-01,6941249.76
2025-09-30,11545141.13
2025-09-29,6724278.69
2025-09-28,4429907.17
2025-09-27,6004444.12
2025-09-26,6932498.53
2025-09-25,7006569.51
2025-09-24,5102013.82
2025-09-23,4721162.48
2025-09-22,5447229.26
2025-09-21,4249053.69
2025-09-20,5914698.94
2025-09-19,5306448.1
2025-09-18,5036552.69
2025-09-17,5688994.36
2025-09-16,7582194.02
2025-09-15,8208458.5
2025-09-14,4047311.05
2025-09-13,5076774.81
2025-09-12,5616006.51
2025-09-11,5904417.38
2025-09-10,6339511.81
2025-09-09,4419888.95
2025-09-08,5280904.6
2025-09-07,4170503.03
2025-09-06,5151750
2025-09-05,5648149.99
2025-09-04,4535781.11
2025-09-03,4881430.79
2025-09-02,5153356.78
2025-09-01,6201215.31
2025-08-31,6481488.12
2025-08-30,7816303.29
2025-08-29,6929887.49
2025-08-28,5545939.3
2025-08-27,5397828.32
2025-08-26,5692910.59
2025-08-25,5472268.07
2025-08-24,4015526.72
2025-08-23,5375241.58
2025-08-22,5821912.54
2025-08-21,5884266.28
2025-08-20,5410419.64
2025-08-19,4531960.93
2025-08-18,5599658.84
2025-08-17,4676728.72
2025-08-16,7037846.71
2025-08-15,8022920.67
2025-08-14,5704334.84
2025-08-13,4596362.53
2025-08-12,4974343.97
2025-08-11,5629506.32
2025-08-10,4472456.6
2025-08-09,5107097.41
2025-08-08,5048096.19
2025-08-07,4919578.95
2025-08-06,5187534.56
2025-08-05,5419875.24
2025-08-04,5155877.83
2025-08-03,4085555.23
2025-08-02,4703275.46
2025-08-01,5856508.79
2025-07-31,8252103.71
2025-07-30,6961028.37
2025-07-29,5262025.87
2025-07-28,5599322.34
2025-07-27,4062021.57
2025-07-26,6052726
2025-07-25,6456056.27
2025-07-24,4200496.5
2025-07-23,4608456.85
2025-07-22,4692189.22
2025-07-21,5511194.34
2025-07-20,4485346.2
2025-07-19,4725640.26
2025-07-18,4664757.88
2025-07-17,5163303.74
2025-07-16,6372010.92
2025-07-15,7337693.96
2025-07-14,5347283.73
2025-07-13,3734256.11
2025-07-12,4403093.21
2025-07-11,5499707.96
2025-07-10,6070234.35
2025-07-09,4442308.98
2025-07-08,4196557.42
2025-07-07,4943559.85
2025-07-06,4191938.6
2025-07-05,4908024.62
2025-07-04,4635389.61
2025-07-03,4540524.81
2025-07-02,5099514.45
2025-07-01,6591922.22
2025-06-30,10767550
2025-06-29,4371191.44
2025-06-28,6325194.63
2025-06-27,5968014.93
2025-06-26,6339880.64
2025-06-25,6570440.76
2025-06-24,4672266.96
2025-06-23,4911797.96
2025-06-22,3770183.65
2025-06-21,5436977.05
2025-06-20,6281251.28
2025-06-19,4380860.26
2025-06-18,4230606.57
2025-06-17,4934657.29
2025-06-16,6160230.86
2025-06-15,4758510.9
2025-06-14,5631308.94
2025-06-13,5646229.06
2025-06-12,4144134.38
2025-06-11,5685335.97
2025-06-10,5926213.43
2025-06-09,4416757.14
2025-06-08,3241155.01
2025-06-07,3928768.87
2025-06-06,4652164.79
2025-06-05,5107707.75
2025-06-04,4463442.09
2025-06-03,4446547.98
2025-06-02,5000045.36
2025-06-01,4241024.91
2025-05-31,7113437.63
2025-05-30,7561545.38
2025-05-29,4754572.39
2025-05-28,5352654.93
2025-05-27,5304710.08
2025-05-26,6025940.31
2025-05-25,4099764.17
2025-05-24,5110130.7
2025-05-23,5051055.51
2025-05-22,4596954.01
2025-05-21,5642239.57
2025-05-20,5818083.19
2025-05-19,4899913.57
2025-05-18,3828306.51
2025-05-17,5155061.5
2025-05-16,6736078.55
2025-05-15,7499759.06
2025-05-14,5465375.32
2025-05-13,4637547.21
2025-05-12,3113413.16
2025-05-11,4205042.84
2025-05-10,5941256.16
2025-05-09,4874635.02
2025-05-08,4205998.37
2025-05-07,4910257.8
2025-05-06,5355041.29
2025-05-05,5475399.59
2025-05-04,3348697.73
2025-05-03,4156093.31
2025-05-02,5575111.01
2025-05-01,4971055.72
2025-04-30,10255541.46
2025-04-29,5696007.13
2025-04-28,5490960.67
2025-04-27,3819000.11
2025-04-26,5913960.61
2025-04-25,6247399.31
2025-04-24,4215289.95
2025-04-23,4963334.99
2025-04-22,5406414.84
2025-04-21,4478324.37
2025-04-20,3287683.72
2025-04-19,3513265.26
2025-04-18,2304462.47
2025-04-17,5139573.76
2025-04-16,6156859.76
2025-04-15,6052242.42
2025-04-14,4619466.97
2025-04-13,3186769.3
2025-04-12,4388865.49
2025-04-11,5598083.47
2025-04-10,4846816.5
2025-04-09,3425026.81
2025-04-08,4155305.61
2025-04-07,4638786.37
2025-04-06,3995681.69
2025-04-05,4894964.6
2025-04-04,2984582.73
2025-04-03,4113046.17
2025-04-02,4581174.21
2025-04-01,4776649.74
2025-03-31,7182620.12
2025-03-30,4298221.73
2025-03-29,4875695.89
2025-03-28,5829744.04
2025-03-27,5205382.58
2025-03-26,5912366.91
2025-03-25,5407500.09
2025-03-24,4409294.38
2025-03-23,3210186.72
2025-03-22,4301170.94
2025-03-21,5028838.17
2025-03-20,5517861.89
2025-03-19,4017642.68
2025-03-18,4514647.56
2025-03-17,5476375.87
2025-03-16,4494555.26
2025-03-15,6154731.71
2025-03-14,5585592.14
2025-03-13,4314711.92
2025-03-12,4189577.86
2025-03-11,4872248.22
2025-03-10,5547246.4
2025-03-09,3201216.5
2025-03-08,4018808.91
2025-03-07,4513374.52
2025-03-06,4784704.88
2025-03-05,5060744.21
2025-03-04,4203155.42
2025-03-03,5518161.34
2025-03-02,4435834.57
2025-03-01,5662226.33
2025-02-28,12018837.97
2025-02-27,6146965.53
2025-02-26,5742234.43
2025-02-25,5981281.33
2025-02-24,4375873.45
2025-02-23,3343023.17
2025-02-22,4512858.01
2025-02-21,4778363.56
2025-02-20,4954599.1
2025-02-19,4032523.9
2025-02-18,5173748.54
2025-02-17,4879554.05
2025-02-16,4197667.37
2025-02-15,6168694.47
2025-02-14,4926668.62
2025-02-13,3926720.79
2025-02-12,3744014.07
2025-02-11,4669373.89
2025-02-10,5496480.76
2025-02-09,3262689.75
2025-02-08,3673587.25
2025-02-07,3773627.83
2025-02-06,4421521.62
2025-02-05,4616550.37
2025-02-04,4170871.13
2025-02-03,4562083.73
2025-02-02,3689934.97
2025-02-01,4804614.27
2025-01-31,7081473.41
2025-01-30,4988696.39
2025-01-29,3974854.81
2025-01-28,4378222.58
2025-01-27,5122040.55
2025-01-26,3733611.75
2025-01-25,4864827.98
2025-01-24,4019839.4
2025-01-23,3690251.41
2025-01-22,4188476.37
2025-01-21,4593838.46
2025-01-20,5292981.57
2025-01-19,3331767.6
2025-01-18,3855507.03
2025-01-17,4929688.79
2025-01-16,6120575.82
2025-01-15,6357184.97
2025-01-14,4161506.53
2025-01-13,4239027.53
2025-01-12,3135316.05
2025-01-11,4706152.05
2025-01-10,4818775.44
2025-01-09,3529815.2
2025-01-08,3893700.18
2025-01-07,4328233.69
2025-01-06,4993920.64
2025-01-05,3598688.28
2025-01-04,4391779.24
2025-01-03,4527945.38
2025-01-02,4625326.34
2025-01-01,1277734.83
2024-12-31,3607781.07
2024-12-30,5023941.84
2024-12-29,3573326.03
2024-12-28,5513462.69
2024-12-27,5987101.91
2024-12-26,5910778.94
2024-12-25,1737764.95
2024-12-24,4162184.86
2024-12-23,6011021.92
2024-12-22,3698699.6
2024-12-21,5396050.54
2024-12-20,5418418.6
2024-12-19,4073489.76
2024-12-18,4228957.02
2024-12-17,4697949.88
2024-12-16,5432879.56
2024-12-15,4027662.11
2024-12-14,4778376.28
2024-12-13,5058282.6
2024-12-12,4179608.81
2024-12-11,4288258.91
2024-12-10,4770465.92
2024-12-09,3887637.51
2024-12-08,2771101.78
2024-12-07,3535944.25
2024-12-06,4743104.91
2024-12-05,4447694.03
2024-12-04,3678865.79
2024-12-03,4119250.73
2024-12-02,4708226.95
2024-12-01,3706004.1
2024-11-30,7886174.08
