date,releases,loan_type
2025-09-30,5,BN DA
2025-09-30,87,BN 3RD PARTY
2025-09-30,54,REPO
2025-09-30,37,BN ROPALI
2025-09-29,4,BN DA
2025-09-29,26,REPO
2025-09-29,102,BN 3RD PARTY
2025-09-29,28,BN ROPALI
2025-09-28,2,BN DA
2025-09-28,21,BN ROPALI
2025-09-27,75,BN 3RD PARTY
2025-09-27,38,BN ROPALI
2025-09-27,14,BN DA
2025-09-27,24,REPO
2025-09-26,27,BN ROPALI
2025-09-26,2,BN DA
2025-09-26,15,REPO
2025-09-26,43,BN 3RD PARTY
2025-09-25,29,BN 3RD PARTY
2025-09-25,22,REPO
2025-09-25,26,BN ROPALI
2025-09-25,5,BN DA
2025-09-24,17,BN ROPALI
2025-09-24,50,BN 3RD PARTY
2025-09-24,4,BN DA
2025-09-24,25,REPO
2025-09-23,73,BN 3RD PARTY
2025-09-23,10,BN DA
2025-09-23,21,REPO
2025-09-23,38,BN ROPALI
2025-09-22,18,REPO
2025-09-22,41,BN 3RD PARTY
2025-09-22,1,BN DA
2025-09-22,26,BN ROPALI
2025-09-21,3,BN DA
2025-09-21,18,BN ROPALI
2025-09-20,10,BN DA
2025-09-20,24,BN ROPALI
2025-09-20,27,REPO
2025-09-20,72,BN 3RD PARTY
2025-09-19,120,BN 3RD PARTY
2025-09-19,26,BN ROPALI
2025-09-19,7,BN DA
2025-09-19,12,REPO
2025-09-18,19,BN ROPALI
2025-09-18,3,BN DA
2025-09-18,19,REPO
2025-09-18,3,BN 3RD PARTY
2025-09-17,8,BN DA
2025-09-17,26,REPO
2025-09-17,50,BN 3RD PARTY
2025-09-17,21,BN ROPALI
2025-09-16,34,BN ROPALI
2025-09-16,8,BN DA
2025-09-16,52,BN 3RD PARTY
2025-09-16,16,REPO
2025-09-15,29,BN 3RD PARTY
2025-09-15,6,BN DA
2025-09-15,26,REPO
2025-09-15,23,BN ROPALI
2025-09-14,17,BN ROPALI
2025-09-13,5,BN DA
2025-09-13,20,REPO
2025-09-13,49,BN 3RD PARTY
